The Code of the Woosters,1938,Pelham Grenville Wodehouse (1881-1975)
Shards of Honor,1986,Lois McMaster Bujold (1949-)
"Right Ho, Jeeves",1934,Pelham Grenville Wodehouse (1881-1975)
