42,350,347,292
56,179,241,177
146,287,340,413
217,2638,1641,1358
69,198,270,432
151,378,361,294
170,161,200,292
65,13,12,25
70,501,610,666
126,6,5,12
64,110,243,136
61,7,8,12
95,18,21,29
33,54,144,144
101,575,531,530
40,0,0,0
15,7,12,24
190,0,1,0
172,390,366,408
9,91,92,91
53,164,129,116
26,24,44,71
82,62,109,84
44,19,1,1
208,40,27,28
41,3,9,20
131,30,26,54
215,1082,732,689
145,0,0,0
91,432,331,371
149,23,30,46
4,5,4,8
113,0,0,2
31,1,1,1
155,42,45,34
97,0,0,1
211,0,1,1
120,0,2,2
167,0,1,4
127,0,11,5
80,745,674,746
37,463,438,451
96,9,13,13
13,348,455,516
171,32,47,52
62,0,0,1
197,0,2,0
104,1,0,0
207,3,3,7
116,0,0,0
20,98,197,173
57,0,0,1
160,0,0,0
48,0,0,0
106,20,25,32
32,0,0,0
93,138,19,40
112,0,1,5
196,1,1,1
130,0,0,0
66,22,9,22
210,1,0,1
225,0,0,0
92,11,17,13
159,0,3,7
179,1,4,4
218,10,7,17
108,0,1,2
201,1,1,2
67,126,71,81
105,247,309,357
39,0,0,0
191,175,247,268
30,109,175,191
71,159,194,233
77,397,327,281
138,0,0,1
99,1,1,7
216,31,2,30
194,479,522,535
100,0,1,0
187,0,2,0
10,2,5,9
43,1,1,1
107,34,41,31
21,0,0,0
213,47,52,100
75,678,739,651
81,0,1,22
185,0,0,0
115,3,19,13
150,0,1,1
135,0,0,0
1,0,0,2
163,117,195,253
50,1,1,2
156,1,0,2
78,8,6,18
182,8,13,27
51,58,54,37
87,0,0,1
153,90,56,82
164,4,11,26
157,0,17,0
6,0,0,0
220,2,3,10
47,5,9,14
17,0,0,0
158,1,14,0
63,0,0,0
166,1,2,5
212,2,3,2
90,0,0,0
60,1,1,0
202,0,0,0
140,0,0,1
178,0,0,0
198,81,225,182
123,4,4,0
141,0,0,0
55,42,36,66
180,0,0,0
206,7,8,17
59,3,2,2
222,0,0,0
103,38,75,44
117,0,0,0
192,1,0,1
147,1,0,0
132,2,10,14
14,108,186,156
161,0,0,0
122,6,7,47
204,0,0,1
143,0,4,0
2,0,1,0
98,0,15,2
12,0,0,0
175,0,0,0
173,0,0,0
58,0,0,0
88,1,1,5
136,0,0,0
54,0,1,0
85,0,0,0
25,0,0,0
227,0,0,0
110,221,232,185
200,9,8,13
22,0,0,1
8,20,4,5
176,12,26,26
181,0,0,0
162,0,0,0
226,0,0,0
94,1,1,3
154,0,0,0
68,13,0,0
219,0,0,0
129,0,3,5
228,130,167,93
16,14,11,15
84,0,1,0
186,15,29,41
102,0,0,0
139,1,0,1
35,0,0,0
124,0,0,0
125,0,0,0
24,0,0,0
86,0,0,0
38,0,0,0
193,15,19,13
18,0,0,1
76,0,0,0
203,0,0,0
45,0,0,0
73,0,1,0
183,0,0,0
114,0,0,0
29,0,0,0
169,0,0,0
36,0,0,0
165,16,16,35
184,0,0,0
177,0,1,0
49,0,0,0
52,0,0,0
79,0,0,0
28,0,0,0
174,0,0,0
5,0,0,0
7,0,0,0
230,17,4,1
83,1,1,0
89,1,2,1
118,0,0,0
72,0,0,0
142,0,0,0
128,0,0,0
229,0,1,1
168,0,0,0
205,3,28,18
189,0,0,0
134,0,0,1
27,0,1,11
199,0,1,0
121,2,2,5
137,0,13,0
74,0,0,0
46,0,0,0
3,0,0,0
224,0,0,5
195,0,0,0
34,0,0,0
144,0,0,0
19,1,1,0
11,0,0,0
152,0,0,0
223,0,0,0
221,1,3,0
23,0,0,0
133,0,0,0
109,0,0,0
214,0,0,0
209,0,0,0
148,0,0,0
111,1,0,0
188,0,0,0
119,0,0,0
